1;6CC2E3;eisgrün (13);;;;;
2;231848;nachtblau (22);;;;;
3;FAD780;apricot (26);;;;;
4;157DBE;mittelblau (32);;;;;
5;9DD32F;apfelgrün (33);;;;;
6;008000;grün (36);;;;;
7;FF0000;rot (40);;;;;
8;0000FF;blau (41);;;;;
9;14B43C;hellgrün (43);;;;;
10;FFFF00;gelb (44);;;;;
11;5F311E;braun (45);;;;;
12;000000;schwarz (46);;;;;
13;C5203A;dunkelrot (50);;;;;
14;00A9C4;türkisblau (51);;;;;
15;005035;tannengrün (53);;;;;
16;FFA500;orange (54);;;;;
17;EE82EE;violett (55);;;;;
18;D90385;pink (56);;;;;
19;4CBED9;hellblau (57);;;;;
20;9A30B2;lila (58);;;;;
21;8C5F96;flieder (59);;;;;
22;223B37;olivgrün (63);;;;;
23;D3823C;ocker dunkel (89);;;;;
24;A0A0A0;hellgrau (94);;;;;
25;828282;dunkelgrau (96);;;;;
26;FFFF14;highlight gelb (024);;;;;
27;14BE3C;highlight grün (033);;;;;
28;E60A8C;highlight pink (040);;;;;
29;FFAA0A;highlight orange (054);;;;;
30;E6AA8C;highlight rosa (056);;;;;
;;;;;;;
